date,oil,deaths
3/2/2020,46.78,6
3/3/2020,47.27,10
3/4/2020,46.78,12
3/5/2020,45.9,12
3/6/2020,41.14,15
3/9/2020,31.05,26
3/10/2020,34.47,31
3/11/2020,33.13,37
3/12/2020,31.56,43
3/13/2020,31.72,50
3/16/2020,28.96,91
3/17/2020,26.96,116
3/18/2020,20.48,157
3/19/2020,25.09,203
3/20/2020,19.48,264
3/23/2020,23.33,550
3/24/2020,21.03,731
3/25/2020,20.75,989
3/26/2020,16.6,1275
3/27/2020,15.48,1648
3/30/2020,14.1,3068
3/31/2020,20.51,3911
4/1/2020,20.28,4841
4/2/2020,25.18,5952
4/3/2020,28.36,7121
4/6/2020,26.21,10958
4/7/2020,23.54,12957
